id,value,time,datetime_format
45263,63.47,1669244581,2022-11-24 01:03:01
45265,63.65,1669244882,2022-11-24 01:08:02
45267,63.65,1669245183,2022-11-24 01:13:03
45269,63.59,1669245485,2022-11-24 01:18:05
45271,63.43,1669245787,2022-11-24 01:23:07
45273,63.50,1669246090,2022-11-24 01:28:10
45275,63.54,1669246393,2022-11-24 01:33:13
45276,63.54,1669246393,2022-11-24 01:33:13
45278,63.34,1669246694,2022-11-24 01:38:14
45280,63.43,1669246996,2022-11-24 01:43:16
45282,63.41,1669247297,2022-11-24 01:48:17
45284,63.58,1669247599,2022-11-24 01:53:19
45286,63.65,1669247900,2022-11-24 01:58:20
45288,63.56,1669248202,2022-11-24 02:03:22
45290,63.72,1669248504,2022-11-24 02:08:24
45292,63.65,1669248806,2022-11-24 02:13:26
45294,63.68,1669249107,2022-11-24 02:18:27
45296,63.50,1669249408,2022-11-24 02:23:28
45298,63.70,1669249709,2022-11-24 02:28:29
45300,63.65,1669250011,2022-11-24 02:33:31
45302,63.72,1669250313,2022-11-24 02:38:33
45304,63.58,1669250614,2022-11-24 02:43:34
45306,63.61,1669250915,2022-11-24 02:48:35
45308,63.66,1669251217,2022-11-24 02:53:37
45310,63.65,1669251519,2022-11-24 02:58:39
45312,63.84,1669251821,2022-11-24 03:03:41
45314,63.72,1669252122,2022-11-24 03:08:42
45316,63.88,1669252424,2022-11-24 03:13:44
45318,64.1,1669252725,2022-11-24 03:18:45
45320,63.95,1669253026,2022-11-24 03:23:46
45322,63.90,1669253327,2022-11-24 03:28:47
45324,63.95,1669253629,2022-11-24 03:33:49
45326,64.1,1669253931,2022-11-24 03:38:51
45328,64.5,1669254233,2022-11-24 03:43:53
45330,64.12,1669254534,2022-11-24 03:48:54
45332,64.16,1669254835,2022-11-24 03:53:55
45334,64.8,1669255136,2022-11-24 03:58:56
45336,64.19,1669255437,2022-11-24 04:03:57
45338,63.95,1669255738,2022-11-24 04:08:58
45340,63.90,1669256039,2022-11-24 04:13:59
45342,63.93,1669256341,2022-11-24 04:19:01
45344,64.4,1669256643,2022-11-24 04:24:03
45346,64.6,1669256945,2022-11-24 04:29:05
45348,63.72,1669257247,2022-11-24 04:34:07
45350,63.36,1669257548,2022-11-24 04:39:08
45352,63.72,1669257850,2022-11-24 04:44:10
45354,63.75,1669258151,2022-11-24 04:49:11
45356,64.5,1669258453,2022-11-24 04:54:13
45358,64.5,1669258755,2022-11-24 04:59:15
45360,64.19,1669259056,2022-11-24 05:04:16
45362,64.16,1669259358,2022-11-24 05:09:18
45364,64.22,1669259659,2022-11-24 05:14:19
45366,64.19,1669259961,2022-11-24 05:19:21
45368,64.26,1669260262,2022-11-24 05:24:22
45370,64.47,1669260564,2022-11-24 05:29:24
45372,64.55,1669260865,2022-11-24 05:34:25
45374,64.30,1669261167,2022-11-24 05:39:27
45376,64.50,1669261468,2022-11-24 05:44:28
45378,64.45,1669261770,2022-11-24 05:49:30
45380,64.55,1669262072,2022-11-24 05:54:32
45382,64.48,1669262373,2022-11-24 05:59:33
45384,64.30,1669262674,2022-11-24 06:04:34
