id,value,time,datetime_format
30868,69.23,1667084595,2022-10-30 01:03:15
30870,69.29,1667084897,2022-10-30 01:08:17
30872,69.37,1667085199,2022-10-30 01:13:19
30874,69.29,1667085501,2022-10-30 01:18:21
30876,69.50,1667085803,2022-10-30 01:23:23
30878,69.11,1667086104,2022-10-30 01:28:24
30880,69.29,1667086405,2022-10-30 01:33:25
30882,69.18,1667086707,2022-10-30 01:38:27
30884,69.31,1667087009,2022-10-30 01:43:29
30886,69.31,1667087311,2022-10-30 01:48:31
30888,69.33,1667087612,2022-10-30 01:53:32
30890,69.25,1667087913,2022-10-30 01:58:33
30892,69.30,1667088214,2022-10-30 02:03:34
30894,69.26,1667088515,2022-10-30 02:08:35
30896,69.31,1667088816,2022-10-30 02:13:36
30898,69.16,1667089117,2022-10-30 02:18:37
30900,69.36,1667089419,2022-10-30 02:23:39
30902,69.41,1667089720,2022-10-30 02:28:40
30904,69.33,1667090022,2022-10-30 02:33:42
30906,69.27,1667090324,2022-10-30 02:38:44
30908,69.23,1667090625,2022-10-30 02:43:45
30910,69.23,1667090926,2022-10-30 02:48:46
30912,69.23,1667091228,2022-10-30 02:53:48
30914,69.30,1667091529,2022-10-30 02:58:49
30916,69.27,1667091830,2022-10-30 03:03:50
30918,69.33,1667092131,2022-10-30 03:08:51
30920,69.18,1667092433,2022-10-30 03:13:53
30922,69.6,1667092734,2022-10-30 03:18:54
30924,69.16,1667093035,2022-10-30 03:23:55
30926,68.91,1667093337,2022-10-30 03:28:57
30928,69.6,1667093639,2022-10-30 03:33:59
30930,69.12,1667093941,2022-10-30 03:39:01
30932,69.23,1667094243,2022-10-30 03:44:03
30934,69.20,1667094544,2022-10-30 03:49:04
30936,69.20,1667094845,2022-10-30 03:54:05
30938,69.26,1667095146,2022-10-30 03:59:06
30940,69.26,1667095447,2022-10-30 04:04:07
30942,69.23,1667095748,2022-10-30 04:09:08
30944,69.1,1667096049,2022-10-30 04:14:09
30946,69.0,1667096350,2022-10-30 04:19:10
30948,69.5,1667096651,2022-10-30 04:24:11
30950,69.2,1667096952,2022-10-30 04:29:12
30952,69.15,1667097253,2022-10-30 04:34:13
30954,69.16,1667097554,2022-10-30 04:39:14
30956,69.1,1667097856,2022-10-30 04:44:16
30958,68.94,1667098157,2022-10-30 04:49:17
30960,68.86,1667098459,2022-10-30 04:54:19
30962,69.0,1667098761,2022-10-30 04:59:21
30964,68.95,1667099063,2022-10-30 05:04:23
30966,68.79,1667099365,2022-10-30 05:09:25
30968,68.94,1667099667,2022-10-30 05:14:27
30970,68.76,1667099969,2022-10-30 05:19:29
30972,68.94,1667100270,2022-10-30 05:24:30
30974,68.94,1667100571,2022-10-30 05:29:31
30976,68.80,1667100873,2022-10-30 05:34:33
30978,68.84,1667101174,2022-10-30 05:39:34
30980,69.2,1667101475,2022-10-30 05:44:35
30982,69.4,1667101776,2022-10-30 05:49:36
30984,68.98,1667102077,2022-10-30 05:54:37
30986,69.5,1667102379,2022-10-30 05:59:39
30988,68.79,1667102681,2022-10-30 06:04:41
30990,68.83,1667102982,2022-10-30 06:09:42
30992,69.12,1667103283,2022-10-30 06:14:43
30994,69.18,1667103584,2022-10-30 06:19:44
30996,69.8,1667103885,2022-10-30 06:24:45
30998,69.11,1667104187,2022-10-30 06:29:47
31000,69.8,1667104489,2022-10-30 06:34:49
31002,68.97,1667104790,2022-10-30 06:39:50
31004,68.95,1667105092,2022-10-30 06:44:52
31006,69.1,1667105393,2022-10-30 06:49:53
31008,69.1,1667105695,2022-10-30 06:54:55
31010,68.94,1667105997,2022-10-30 06:59:57
31012,68.95,1667106298,2022-10-30 07:04:58
31014,68.94,1667106600,2022-10-30 07:10:00
31016,68.94,1667106901,2022-10-30 07:15:01
31018,68.83,1667107203,2022-10-30 07:20:03
31020,68.91,1667107504,2022-10-30 07:25:04
31022,68.91,1667107805,2022-10-30 07:30:05
31024,68.87,1667108106,2022-10-30 07:35:06
31026,68.87,1667108408,2022-10-30 07:40:08
31028,68.91,1667108710,2022-10-30 07:45:10
31030,68.84,1667109011,2022-10-30 07:50:11
31032,68.87,1667109313,2022-10-30 07:55:13
31034,68.88,1667109614,2022-10-30 08:00:14
31036,68.80,1667109916,2022-10-30 08:05:16
31038,68.76,1667110217,2022-10-30 08:10:17
31040,68.80,1667110518,2022-10-30 08:15:18
31042,68.77,1667110819,2022-10-30 08:20:19
31044,68.80,1667111121,2022-10-30 08:25:21
31046,68.68,1667111423,2022-10-30 08:30:23
31048,68.66,1667111724,2022-10-30 08:35:24
31050,68.62,1667112025,2022-10-30 08:40:25
31052,68.77,1667112327,2022-10-30 08:45:27
31054,68.76,1667112628,2022-10-30 08:50:28
31056,68.79,1667112930,2022-10-30 08:55:30
31058,68.79,1667113232,2022-10-30 09:00:32
31060,68.75,1667113533,2022-10-30 09:05:33
