id,value,time,datetime_format
32590,69.37,1667343851,2022-11-02 01:04:11
32592,69.20,1667344152,2022-11-02 01:09:12
32594,69.33,1667344453,2022-11-02 01:14:13
32596,69.68,1667344755,2022-11-02 01:19:15
32598,69.63,1667345057,2022-11-02 01:24:17
32600,69.61,1667345358,2022-11-02 01:29:18
32602,69.44,1667345659,2022-11-02 01:34:19
32604,69.48,1667345960,2022-11-02 01:39:20
32606,69.52,1667346262,2022-11-02 01:44:22
32608,69.51,1667346563,2022-11-02 01:49:23
32610,69.58,1667346864,2022-11-02 01:54:24
32612,69.43,1667347165,2022-11-02 01:59:25
32614,69.37,1667347466,2022-11-02 02:04:26
32616,69.44,1667347767,2022-11-02 02:09:27
32618,69.37,1667348068,2022-11-02 02:14:28
32620,69.30,1667348369,2022-11-02 02:19:29
32622,69.23,1667348670,2022-11-02 02:24:30
32624,69.26,1667348972,2022-11-02 02:29:32
32626,69.30,1667349273,2022-11-02 02:34:33
32628,69.27,1667349575,2022-11-02 02:39:35
32630,69.34,1667349876,2022-11-02 02:44:36
32632,69.13,1667350177,2022-11-02 02:49:37
32634,69.11,1667350478,2022-11-02 02:54:38
32636,69.31,1667350780,2022-11-02 02:59:40
32638,69.23,1667351081,2022-11-02 03:04:41
32640,69.20,1667351382,2022-11-02 03:09:42
32642,69.23,1667351683,2022-11-02 03:14:43
32644,69.27,1667351984,2022-11-02 03:19:44
32646,69.38,1667352286,2022-11-02 03:24:46
32648,69.12,1667352587,2022-11-02 03:29:47
32650,69.1,1667352889,2022-11-02 03:34:49
32652,69.11,1667353191,2022-11-02 03:39:51
32654,69.20,1667353493,2022-11-02 03:44:53
32656,69.37,1667353794,2022-11-02 03:49:54
32658,69.37,1667354096,2022-11-02 03:54:56
32660,69.26,1667354397,2022-11-02 03:59:57
32662,69.19,1667354699,2022-11-02 04:04:59
32664,69.18,1667355000,2022-11-02 04:10:00
32666,69.27,1667355301,2022-11-02 04:15:01
32668,69.23,1667355602,2022-11-02 04:20:02
32670,69.20,1667355903,2022-11-02 04:25:03
32672,69.16,1667356204,2022-11-02 04:30:04
32674,69.12,1667356506,2022-11-02 04:35:06
32676,69.30,1667356807,2022-11-02 04:40:07
32678,69.19,1667357108,2022-11-02 04:45:08
32680,69.16,1667357409,2022-11-02 04:50:09
32682,69.15,1667357711,2022-11-02 04:55:11
32684,69.15,1667358012,2022-11-02 05:00:12
32686,69.16,1667358313,2022-11-02 05:05:13
32688,69.19,1667358615,2022-11-02 05:10:15
32690,69.19,1667358916,2022-11-02 05:15:16
32692,69.8,1667359217,2022-11-02 05:20:17
32694,69.12,1667359518,2022-11-02 05:25:18
32696,69.26,1667359819,2022-11-02 05:30:19
32698,69.15,1667360120,2022-11-02 05:35:20
32700,69.23,1667360421,2022-11-02 05:40:21
32702,69.20,1667360722,2022-11-02 05:45:22
32704,69.19,1667361024,2022-11-02 05:50:24
32706,69.13,1667361326,2022-11-02 05:55:26
32708,69.12,1667361628,2022-11-02 06:00:28
32710,69.12,1667361929,2022-11-02 06:05:29
32712,68.94,1667362231,2022-11-02 06:10:31
32714,69.1,1667362532,2022-11-02 06:15:32
32716,69.1,1667362833,2022-11-02 06:20:33
32718,69.6,1667363135,2022-11-02 06:25:35
32720,69.25,1667363436,2022-11-02 06:30:36
32722,69.19,1667363738,2022-11-02 06:35:38
32724,69.23,1667364040,2022-11-02 06:40:40
32726,69.41,1667364347,2022-11-02 06:45:47
32727,69.44,1667364347,2022-11-02 06:45:47
32729,69.5,1667364648,2022-11-02 06:50:48
32731,68.91,1667364949,2022-11-02 06:55:49
32733,69.12,1667365250,2022-11-02 07:00:50
32735,69.12,1667365552,2022-11-02 07:05:52
32737,69.20,1667365853,2022-11-02 07:10:53
32739,69.18,1667366155,2022-11-02 07:15:55
32741,69.19,1667366456,2022-11-02 07:20:56
32743,69.12,1667366757,2022-11-02 07:25:57
32745,69.20,1667367059,2022-11-02 07:30:59
32747,69.48,1667367360,2022-11-02 07:36:00
32749,69.59,1667367661,2022-11-02 07:41:01
