id,value,time,datetime_format
23937,14.35,1666044260,2022-10-18 00:04:20
23939,14.25,1666044562,2022-10-18 00:09:22
23941,14.18,1666044864,2022-10-18 00:14:24
23943,14.11,1666045166,2022-10-18 00:19:26
23945,14.2,1666045467,2022-10-18 00:24:27
23947,13.90,1666045768,2022-10-18 00:29:28
23949,13.85,1666046070,2022-10-18 00:34:30
23951,13.81,1666046371,2022-10-18 00:39:31
23953,13.77,1666046672,2022-10-18 00:44:32
23955,13.72,1666046973,2022-10-18 00:49:33
23957,13.68,1666047275,2022-10-18 00:54:35
23959,13.56,1666047576,2022-10-18 00:59:36
23961,13.48,1666047877,2022-10-18 01:04:37
23963,13.47,1666048179,2022-10-18 01:09:39
23965,13.40,1666048480,2022-10-18 01:14:40
23967,13.28,1666048782,2022-10-18 01:19:42
23969,13.22,1666049084,2022-10-18 01:24:44
23971,13.19,1666049385,2022-10-18 01:29:45
23973,13.11,1666049686,2022-10-18 01:34:46
23975,13.6,1666049987,2022-10-18 01:39:47
23977,12.98,1666050289,2022-10-18 01:44:49
23979,12.97,1666050590,2022-10-18 01:49:50
23981,12.93,1666050892,2022-10-18 01:54:52
23983,12.85,1666051194,2022-10-18 01:59:54
23985,12.82,1666051496,2022-10-18 02:04:56
23987,12.77,1666051797,2022-10-18 02:09:57
23989,12.76,1666052099,2022-10-18 02:14:59
23991,12.75,1666052400,2022-10-18 02:20:00
23993,12.69,1666052701,2022-10-18 02:25:01
23995,12.67,1666053002,2022-10-18 02:30:02
23997,12.64,1666053304,2022-10-18 02:35:04
23999,12.63,1666053606,2022-10-18 02:40:06
24001,12.59,1666053907,2022-10-18 02:45:07
24003,12.59,1666054208,2022-10-18 02:50:08
24005,12.56,1666054509,2022-10-18 02:55:09
24007,12.50,1666054810,2022-10-18 03:00:10
24009,12.42,1666055111,2022-10-18 03:05:11
24011,12.35,1666055412,2022-10-18 03:10:12
24013,12.35,1666055713,2022-10-18 03:15:13
24015,12.27,1666056015,2022-10-18 03:20:15
24017,12.25,1666056316,2022-10-18 03:25:16
24019,12.21,1666056617,2022-10-18 03:30:17
24021,12.19,1666056919,2022-10-18 03:35:19
24023,12.17,1666057221,2022-10-18 03:40:21
24025,12.14,1666057522,2022-10-18 03:45:22
24027,12.13,1666057824,2022-10-18 03:50:24
24029,12.6,1666058125,2022-10-18 03:55:25
24031,12.1,1666058426,2022-10-18 04:00:26
24033,11.97,1666058727,2022-10-18 04:05:27
24035,11.93,1666059028,2022-10-18 04:10:28
24037,11.93,1666059330,2022-10-18 04:15:30
24039,11.86,1666059631,2022-10-18 04:20:31
24041,11.85,1666059932,2022-10-18 04:25:32
24043,11.81,1666060233,2022-10-18 04:30:33
24045,11.81,1666060534,2022-10-18 04:35:34
24047,11.76,1666060835,2022-10-18 04:40:35
24049,11.73,1666061136,2022-10-18 04:45:36
24051,11.69,1666061438,2022-10-18 04:50:38
24053,11.68,1666061739,2022-10-18 04:55:39
24055,11.65,1666062041,2022-10-18 05:00:41
24057,11.63,1666062343,2022-10-18 05:05:43
24059,11.59,1666062644,2022-10-18 05:10:44
24061,11.56,1666062946,2022-10-18 05:15:46
24063,11.56,1666063248,2022-10-18 05:20:48
24065,11.52,1666063549,2022-10-18 05:25:49
24067,11.48,1666063850,2022-10-18 05:30:50
24069,11.43,1666064151,2022-10-18 05:35:51
24071,11.43,1666064453,2022-10-18 05:40:53
24073,11.39,1666064754,2022-10-18 05:45:54
24075,11.43,1666065055,2022-10-18 05:50:55
24077,11.42,1666065356,2022-10-18 05:55:56
24079,11.39,1666065658,2022-10-18 06:00:58
24081,11.35,1666065959,2022-10-18 06:05:59
24083,11.31,1666066261,2022-10-18 06:11:01
24085,11.25,1666066562,2022-10-18 06:16:02
24087,11.25,1666066864,2022-10-18 06:21:04
24089,11.21,1666067165,2022-10-18 06:26:05
24091,11.15,1666067466,2022-10-18 06:31:06
24093,11.14,1666067767,2022-10-18 06:36:07
24095,11.10,1666068069,2022-10-18 06:41:09
24097,11.10,1666068370,2022-10-18 06:46:10
24099,11.7,1666068672,2022-10-18 06:51:12
24101,11.6,1666068973,2022-10-18 06:56:13
24103,11.3,1666069274,2022-10-18 07:01:14
24105,11.2,1666069575,2022-10-18 07:06:15
24107,11.1,1666069877,2022-10-18 07:11:17
24109,11.0,1666070178,2022-10-18 07:16:18
24111,11.1,1666070479,2022-10-18 07:21:19
24113,11.0,1666070780,2022-10-18 07:26:20
24115,11.2,1666071082,2022-10-18 07:31:22
24117,11.1,1666071384,2022-10-18 07:36:24
24119,11.2,1666071686,2022-10-18 07:41:26
24121,11.2,1666071987,2022-10-18 07:46:27
24123,11.3,1666072289,2022-10-18 07:51:29
24125,11.10,1666072591,2022-10-18 07:56:31
24127,11.14,1666072893,2022-10-18 08:01:33
24129,11.15,1666073194,2022-10-18 08:06:34
24131,11.21,1666073496,2022-10-18 08:11:36
24133,11.26,1666073797,2022-10-18 08:16:37
24135,11.35,1666074099,2022-10-18 08:21:39
24137,11.43,1666074401,2022-10-18 08:26:41
24139,11.50,1666074703,2022-10-18 08:31:43
24141,11.59,1666075005,2022-10-18 08:36:45
24143,11.68,1666075307,2022-10-18 08:41:47
24145,11.77,1666075609,2022-10-18 08:46:49
24147,11.93,1666075910,2022-10-18 08:51:50
24149,12.6,1666076211,2022-10-18 08:56:51
