id,value,time,datetime_format
20489,17.29,1665525793,2022-10-12 00:03:13
20491,17.18,1665526094,2022-10-12 00:08:14
20493,17.12,1665526395,2022-10-12 00:13:15
20495,17.4,1665526696,2022-10-12 00:18:16
20497,16.95,1665526998,2022-10-12 00:23:18
20499,16.94,1665527300,2022-10-12 00:28:20
20501,16.78,1665527602,2022-10-12 00:33:22
20503,16.69,1665527903,2022-10-12 00:38:23
20505,16.62,1665528204,2022-10-12 00:43:24
20507,16.36,1665528505,2022-10-12 00:48:25
20509,16.32,1665528807,2022-10-12 00:53:27
20511,16.23,1665529108,2022-10-12 00:58:28
20513,16.19,1665529409,2022-10-12 01:03:29
20515,16.12,1665529711,2022-10-12 01:08:31
20517,16.10,1665530012,2022-10-12 01:13:32
20519,16.10,1665530314,2022-10-12 01:18:34
20521,16.7,1665530616,2022-10-12 01:23:36
20523,16.9,1665530917,2022-10-12 01:28:37
20525,16.2,1665531218,2022-10-12 01:33:38
20527,15.92,1665531519,2022-10-12 01:38:39
20529,15.85,1665531821,2022-10-12 01:43:41
20531,15.88,1665532123,2022-10-12 01:48:43
20533,15.75,1665532424,2022-10-12 01:53:44
20535,15.72,1665532727,2022-10-12 01:58:47
20536,15.72,1665532727,2022-10-12 01:58:47
20538,15.71,1665533029,2022-10-12 02:03:49
20540,15.55,1665533330,2022-10-12 02:08:50
20542,15.55,1665533632,2022-10-12 02:13:52
20544,15.55,1665533933,2022-10-12 02:18:53
20546,15.53,1665534234,2022-10-12 02:23:54
20548,15.60,1665534535,2022-10-12 02:28:55
20550,15.40,1665534836,2022-10-12 02:33:56
20552,15.36,1665535137,2022-10-12 02:38:57
20554,15.32,1665535438,2022-10-12 02:43:58
20556,15.30,1665535739,2022-10-12 02:48:59
20558,15.18,1665536040,2022-10-12 02:54:00
20560,15.14,1665536342,2022-10-12 02:59:02
20562,15.15,1665536643,2022-10-12 03:04:03
20564,15.3,1665536945,2022-10-12 03:09:05
20566,15.0,1665537246,2022-10-12 03:14:06
20568,14.88,1665537547,2022-10-12 03:19:07
20570,14.85,1665537848,2022-10-12 03:24:08
20572,14.77,1665538149,2022-10-12 03:29:09
20574,14.71,1665538451,2022-10-12 03:34:11
20576,14.60,1665538752,2022-10-12 03:39:12
20578,14.57,1665539053,2022-10-12 03:44:13
20580,14.51,1665539354,2022-10-12 03:49:14
20582,14.51,1665539655,2022-10-12 03:54:15
20584,14.46,1665539956,2022-10-12 03:59:16
20586,14.39,1665540257,2022-10-12 04:04:17
20588,14.35,1665540559,2022-10-12 04:09:19
20590,14.22,1665540860,2022-10-12 04:14:20
20592,14.17,1665541161,2022-10-12 04:19:21
20594,14.15,1665541463,2022-10-12 04:24:23
20596,14.6,1665541764,2022-10-12 04:29:24
20598,14.3,1665542065,2022-10-12 04:34:25
20600,14.3,1665542366,2022-10-12 04:39:26
20602,14.2,1665542667,2022-10-12 04:44:27
20604,13.98,1665542969,2022-10-12 04:49:29
20606,13.93,1665543271,2022-10-12 04:54:31
20608,13.82,1665543572,2022-10-12 04:59:32
20610,13.80,1665543874,2022-10-12 05:04:34
20612,13.72,1665544176,2022-10-12 05:09:36
20614,13.77,1665544478,2022-10-12 05:14:38
20616,13.72,1665544780,2022-10-12 05:19:40
20618,13.72,1665545082,2022-10-12 05:24:42
20620,13.69,1665545383,2022-10-12 05:29:43
20622,13.63,1665545685,2022-10-12 05:34:45
20624,13.64,1665545986,2022-10-12 05:39:46
20626,13.61,1665546287,2022-10-12 05:44:47
20628,13.64,1665546588,2022-10-12 05:49:48
20630,13.63,1665546890,2022-10-12 05:54:50
20632,13.63,1665547191,2022-10-12 05:59:51
20634,13.65,1665547493,2022-10-12 06:04:53
20636,13.60,1665547794,2022-10-12 06:09:54
20638,13.63,1665548096,2022-10-12 06:14:56
20640,13.64,1665548397,2022-10-12 06:19:57
20642,13.64,1665548698,2022-10-12 06:24:58
20644,13.68,1665548999,2022-10-12 06:29:59
20646,13.69,1665549300,2022-10-12 06:35:00
20648,13.59,1665549602,2022-10-12 06:40:02
20650,13.60,1665549903,2022-10-12 06:45:03
20652,13.52,1665550204,2022-10-12 06:50:04
20654,13.47,1665550505,2022-10-12 06:55:05
20656,13.48,1665550806,2022-10-12 07:00:06
20658,13.42,1665551108,2022-10-12 07:05:08
20660,13.36,1665551409,2022-10-12 07:10:09
20662,13.27,1665551710,2022-10-12 07:15:10
20664,13.23,1665552012,2022-10-12 07:20:12
20666,13.19,1665552314,2022-10-12 07:25:14
20668,13.11,1665552616,2022-10-12 07:30:16
20670,13.10,1665552918,2022-10-12 07:35:18
20672,13.14,1665553220,2022-10-12 07:40:20
20674,13.7,1665553522,2022-10-12 07:45:22
20676,13.14,1665553823,2022-10-12 07:50:23
20678,13.10,1665554124,2022-10-12 07:55:24
20680,13.18,1665554425,2022-10-12 08:00:25
20682,13.22,1665554726,2022-10-12 08:05:26
20684,13.27,1665555028,2022-10-12 08:10:28
20686,13.28,1665555330,2022-10-12 08:15:30
20688,13.43,1665555631,2022-10-12 08:20:31
20690,13.52,1665555932,2022-10-12 08:25:32
20692,13.52,1665556233,2022-10-12 08:30:33
20694,13.64,1665556534,2022-10-12 08:35:34
20696,13.76,1665556836,2022-10-12 08:40:36
20698,13.77,1665557137,2022-10-12 08:45:37
20700,13.89,1665557439,2022-10-12 08:50:39
20702,14.0,1665557741,2022-10-12 08:55:41
20704,14.10,1665558042,2022-10-12 09:00:42
20706,14.22,1665558343,2022-10-12 09:05:43
20708,14.27,1665558644,2022-10-12 09:10:44
20710,14.36,1665558945,2022-10-12 09:15:45
20712,14.59,1665559246,2022-10-12 09:20:46
20714,14.57,1665559547,2022-10-12 09:25:47
20716,14.68,1665559848,2022-10-12 09:30:48
20718,14.59,1665560150,2022-10-12 09:35:50
20720,14.72,1665560452,2022-10-12 09:40:52
20722,14.72,1665560754,2022-10-12 09:45:54
20724,14.92,1665561055,2022-10-12 09:50:55
20726,15.2,1665561356,2022-10-12 09:55:56
20728,15.19,1665561657,2022-10-12 10:00:57
20730,15.36,1665561958,2022-10-12 10:05:58
20732,15.52,1665562259,2022-10-12 10:10:59
20734,15.51,1665562560,2022-10-12 10:16:00
20736,15.75,1665562862,2022-10-12 10:21:02
