id,value,time,datetime_format
35465,11.31,1667775672,2022-11-07 01:01:12
35467,11.25,1667775974,2022-11-07 01:06:14
35469,11.18,1667776275,2022-11-07 01:11:15
35471,11.10,1667776577,2022-11-07 01:16:17
35473,11.3,1667776878,2022-11-07 01:21:18
35475,10.97,1667777180,2022-11-07 01:26:20
35477,10.90,1667777482,2022-11-07 01:31:22
35479,10.82,1667777783,2022-11-07 01:36:23
35481,10.73,1667778085,2022-11-07 01:41:25
35483,10.64,1667778387,2022-11-07 01:46:27
35485,10.56,1667778688,2022-11-07 01:51:28
35487,10.50,1667778989,2022-11-07 01:56:29
35489,10.44,1667779290,2022-11-07 02:01:30
35491,10.39,1667779591,2022-11-07 02:06:31
35493,10.32,1667779892,2022-11-07 02:11:32
35495,10.22,1667780193,2022-11-07 02:16:33
35497,10.11,1667780494,2022-11-07 02:21:34
35499,10.9,1667780796,2022-11-07 02:26:36
35501,10.5,1667781097,2022-11-07 02:31:37
35503,9.97,1667781399,2022-11-07 02:36:39
35505,9.89,1667781701,2022-11-07 02:41:41
35507,9.89,1667782002,2022-11-07 02:46:42
35509,9.77,1667782304,2022-11-07 02:51:44
35511,9.67,1667782605,2022-11-07 02:56:45
35513,9.64,1667782906,2022-11-07 03:01:46
35515,9.63,1667783208,2022-11-07 03:06:48
35517,9.52,1667783510,2022-11-07 03:11:50
35519,9.43,1667783811,2022-11-07 03:16:51
35521,9.43,1667784113,2022-11-07 03:21:53
35523,9.36,1667784414,2022-11-07 03:26:54
35525,9.34,1667784716,2022-11-07 03:31:56
35527,9.31,1667785017,2022-11-07 03:36:57
35529,9.31,1667785318,2022-11-07 03:41:58
35531,9.35,1667785620,2022-11-07 03:47:00
35533,9.32,1667785922,2022-11-07 03:52:02
35535,9.32,1667786224,2022-11-07 03:57:04
35537,9.34,1667786526,2022-11-07 04:02:06
35539,9.34,1667786827,2022-11-07 04:07:07
35541,9.39,1667787128,2022-11-07 04:12:08
35543,9.46,1667787429,2022-11-07 04:17:09
35545,9.43,1667787731,2022-11-07 04:22:11
35547,9.47,1667788032,2022-11-07 04:27:12
35549,9.50,1667788334,2022-11-07 04:32:14
35551,9.51,1667788636,2022-11-07 04:37:16
35553,9.50,1667788937,2022-11-07 04:42:17
35555,9.43,1667789238,2022-11-07 04:47:18
35557,9.47,1667789540,2022-11-07 04:52:20
35559,9.47,1667789842,2022-11-07 04:57:22
35561,9.39,1667790144,2022-11-07 05:02:24
35563,9.43,1667790445,2022-11-07 05:07:25
35565,9.46,1667790746,2022-11-07 05:12:26
35567,9.43,1667791048,2022-11-07 05:17:28
35569,9.43,1667791350,2022-11-07 05:22:30
35571,9.46,1667791652,2022-11-07 05:27:32
35573,9.43,1667791953,2022-11-07 05:32:33
35575,9.43,1667792255,2022-11-07 05:37:35
35577,9.47,1667792557,2022-11-07 05:42:37
35579,9.47,1667792858,2022-11-07 05:47:38
35581,9.52,1667793160,2022-11-07 05:52:40
35583,9.47,1667793462,2022-11-07 05:57:42
35585,9.52,1667793763,2022-11-07 06:02:43
35587,9.53,1667794065,2022-11-07 06:07:45
35589,9.55,1667794366,2022-11-07 06:12:46
35591,9.55,1667794668,2022-11-07 06:17:48
35593,9.60,1667794969,2022-11-07 06:22:49
35595,9.64,1667795270,2022-11-07 06:27:50
35597,9.64,1667795571,2022-11-07 06:32:51
35599,9.69,1667795873,2022-11-07 06:37:53
35601,9.77,1667796175,2022-11-07 06:42:55
35603,9.81,1667796477,2022-11-07 06:47:57
35605,9.86,1667796778,2022-11-07 06:52:58
35607,9.94,1667797080,2022-11-07 06:58:00
35609,9.98,1667797381,2022-11-07 07:03:01
35611,10.6,1667797683,2022-11-07 07:08:03
35613,10.9,1667797985,2022-11-07 07:13:05
35615,10.13,1667798287,2022-11-07 07:18:07
35617,10.19,1667798588,2022-11-07 07:23:08
35619,10.22,1667798889,2022-11-07 07:28:09
35621,10.25,1667799191,2022-11-07 07:33:11
35623,10.28,1667799492,2022-11-07 07:38:12
35625,10.31,1667799794,2022-11-07 07:43:14
35627,10.32,1667800096,2022-11-07 07:48:16
35629,10.32,1667800398,2022-11-07 07:53:18
35631,10.35,1667800699,2022-11-07 07:58:19
35633,10.35,1667801001,2022-11-07 08:03:21
35635,10.35,1667801302,2022-11-07 08:08:22
35637,10.39,1667801603,2022-11-07 08:13:23
35639,10.43,1667801905,2022-11-07 08:18:25
35641,10.47,1667802207,2022-11-07 08:23:27
35643,10.52,1667802508,2022-11-07 08:28:28
35645,10.52,1667802809,2022-11-07 08:33:29
35647,10.56,1667803111,2022-11-07 08:38:31
35649,10.56,1667803413,2022-11-07 08:43:33
35651,10.60,1667803714,2022-11-07 08:48:34
35653,10.64,1667804015,2022-11-07 08:53:35
35655,10.67,1667804317,2022-11-07 08:58:37
35657,10.75,1667804618,2022-11-07 09:03:38
35659,10.77,1667804920,2022-11-07 09:08:40
35661,10.77,1667805221,2022-11-07 09:13:41
35663,10.84,1667805523,2022-11-07 09:18:43
35665,10.88,1667805825,2022-11-07 09:23:45
35667,10.93,1667806126,2022-11-07 09:28:46
35669,11.1,1667806427,2022-11-07 09:33:47
35671,11.5,1667806728,2022-11-07 09:38:48
35673,11.10,1667807029,2022-11-07 09:43:49
35675,11.21,1667807331,2022-11-07 09:48:51
35677,11.25,1667807632,2022-11-07 09:53:52
35679,11.31,1667807934,2022-11-07 09:58:54
35681,11.35,1667808236,2022-11-07 10:03:56
35683,11.39,1667808537,2022-11-07 10:08:57
35685,11.42,1667808838,2022-11-07 10:13:58
35687,11.50,1667809139,2022-11-07 10:18:59
35689,11.52,1667809441,2022-11-07 10:24:01
35691,11.56,1667809742,2022-11-07 10:29:02
35693,11.63,1667810043,2022-11-07 10:34:03
35695,11.68,1667810344,2022-11-07 10:39:04
35697,11.73,1667810645,2022-11-07 10:44:05
35699,11.76,1667810946,2022-11-07 10:49:06
35701,11.79,1667811247,2022-11-07 10:54:07
35703,11.81,1667811549,2022-11-07 10:59:09
35705,11.84,1667811850,2022-11-07 11:04:10
35707,11.88,1667812151,2022-11-07 11:09:11
35709,11.93,1667812453,2022-11-07 11:14:13
35711,11.98,1667812755,2022-11-07 11:19:15
35713,12.3,1667813056,2022-11-07 11:24:16
35715,12.6,1667813357,2022-11-07 11:29:17
35717,12.13,1667813658,2022-11-07 11:34:18
35719,12.10,1667813959,2022-11-07 11:39:19
35721,12.17,1667814261,2022-11-07 11:44:21
35723,12.22,1667814563,2022-11-07 11:49:23
35725,12.26,1667814865,2022-11-07 11:54:25
35727,12.31,1667815166,2022-11-07 11:59:26
35729,12.31,1667815467,2022-11-07 12:04:27
35731,12.35,1667815768,2022-11-07 12:09:28
35733,12.38,1667816070,2022-11-07 12:14:30
35735,12.38,1667816371,2022-11-07 12:19:31
35737,12.40,1667816673,2022-11-07 12:24:33
35739,12.43,1667816974,2022-11-07 12:29:34
35741,12.46,1667817275,2022-11-07 12:34:35
35743,12.50,1667817577,2022-11-07 12:39:37
35745,12.52,1667817879,2022-11-07 12:44:39
35747,12.63,1667818181,2022-11-07 12:49:41
35749,12.68,1667818482,2022-11-07 12:54:42
35751,12.75,1667818784,2022-11-07 12:59:44
35753,12.82,1667819086,2022-11-07 13:04:46
35755,12.93,1667819388,2022-11-07 13:09:48
35757,13.1,1667819689,2022-11-07 13:14:49
35759,13.6,1667819990,2022-11-07 13:19:50
35761,13.17,1667820291,2022-11-07 13:24:51
35763,13.25,1667820593,2022-11-07 13:29:53
35765,13.34,1667820894,2022-11-07 13:34:54
35767,13.39,1667821195,2022-11-07 13:39:55
35769,13.47,1667821496,2022-11-07 13:44:56
35771,13.53,1667821802,2022-11-07 13:50:02
35773,13.68,1667822103,2022-11-07 13:55:03
35775,13.79,1667822404,2022-11-07 14:00:04
35777,13.93,1667822705,2022-11-07 14:05:05
35779,14.2,1667823007,2022-11-07 14:10:07
35781,14.11,1667823308,2022-11-07 14:15:08
35783,14.17,1667823609,2022-11-07 14:20:09
35785,14.22,1667823910,2022-11-07 14:25:10
35787,14.30,1667824211,2022-11-07 14:30:11
35789,14.30,1667824513,2022-11-07 14:35:13
35791,14.39,1667824814,2022-11-07 14:40:14
35793,14.43,1667825116,2022-11-07 14:45:16
35795,14.48,1667825417,2022-11-07 14:50:17
35797,14.56,1667825718,2022-11-07 14:55:18
35799,14.60,1667826019,2022-11-07 15:00:19
35801,14.67,1667826320,2022-11-07 15:05:20
35803,14.71,1667826621,2022-11-07 15:10:21
35805,14.71,1667826922,2022-11-07 15:15:22
35807,14.76,1667827224,2022-11-07 15:20:24
35809,14.79,1667827525,2022-11-07 15:25:25
35811,14.80,1667827827,2022-11-07 15:30:27
35813,14.81,1667828128,2022-11-07 15:35:28
35815,14.81,1667828429,2022-11-07 15:40:29
35817,14.85,1667828731,2022-11-07 15:45:31
35819,14.82,1667829032,2022-11-07 15:50:32
35821,14.85,1667829333,2022-11-07 15:55:33
35823,14.82,1667829634,2022-11-07 16:00:34
35825,14.80,1667829937,2022-11-07 16:05:37
35827,14.81,1667830238,2022-11-07 16:10:38
35829,14.85,1667830539,2022-11-07 16:15:39
35831,14.82,1667830840,2022-11-07 16:20:40
35833,14.81,1667831142,2022-11-07 16:25:42
35835,14.81,1667831443,2022-11-07 16:30:43
35837,14.79,1667831744,2022-11-07 16:35:44
35839,14.76,1667832045,2022-11-07 16:40:45
35841,14.72,1667832346,2022-11-07 16:45:46
35843,14.68,1667832648,2022-11-07 16:50:48
35845,14.61,1667832949,2022-11-07 16:55:49
35847,14.59,1667833250,2022-11-07 17:00:50
35849,14.55,1667833551,2022-11-07 17:05:51
35851,14.51,1667833853,2022-11-07 17:10:53
35853,14.46,1667834154,2022-11-07 17:15:54
35855,14.40,1667834456,2022-11-07 17:20:56
35857,14.34,1667834758,2022-11-07 17:25:58
35859,14.25,1667835059,2022-11-07 17:30:59
35861,14.19,1667835361,2022-11-07 17:36:01
35863,14.10,1667835662,2022-11-07 17:41:02
35865,14.2,1667835964,2022-11-07 17:46:04
35867,14.0,1667836265,2022-11-07 17:51:05
35869,13.93,1667836567,2022-11-07 17:56:07
35871,13.89,1667836869,2022-11-07 18:01:09
35873,13.85,1667837170,2022-11-07 18:06:10
35875,13.82,1667837472,2022-11-07 18:11:12
35877,13.81,1667837774,2022-11-07 18:16:14
35879,13.81,1667838076,2022-11-07 18:21:16
35881,13.81,1667838377,2022-11-07 18:26:17
35883,13.80,1667838678,2022-11-07 18:31:18
35885,13.77,1667838979,2022-11-07 18:36:19
35887,13.75,1667839280,2022-11-07 18:41:20
35889,13.69,1667839582,2022-11-07 18:46:22
35891,13.69,1667839883,2022-11-07 18:51:23
35893,13.72,1667840184,2022-11-07 18:56:24
35895,13.72,1667840485,2022-11-07 19:01:25
35897,13.69,1667840787,2022-11-07 19:06:27
35899,13.68,1667841089,2022-11-07 19:11:29
35901,13.64,1667841391,2022-11-07 19:16:31
35903,13.64,1667841693,2022-11-07 19:21:33
35905,13.60,1667841994,2022-11-07 19:26:34
35907,13.60,1667842295,2022-11-07 19:31:35
35909,13.56,1667842596,2022-11-07 19:36:36
35911,13.55,1667842897,2022-11-07 19:41:37
35913,13.51,1667843199,2022-11-07 19:46:39
35915,13.47,1667843500,2022-11-07 19:51:40
35917,13.44,1667843801,2022-11-07 19:56:41
35919,13.43,1667844103,2022-11-07 20:01:43
35921,13.39,1667844405,2022-11-07 20:06:45
35923,13.42,1667844706,2022-11-07 20:11:46
35925,13.42,1667845008,2022-11-07 20:16:48
35927,13.39,1667845310,2022-11-07 20:21:50
35929,13.36,1667845612,2022-11-07 20:26:52
35931,13.35,1667845914,2022-11-07 20:31:54
35933,13.35,1667846216,2022-11-07 20:36:56
35935,13.31,1667846518,2022-11-07 20:41:58
35937,13.27,1667846820,2022-11-07 20:47:00
35939,13.27,1667847125,2022-11-07 20:52:05
35941,13.27,1667847427,2022-11-07 20:57:07
35943,13.23,1667847729,2022-11-07 21:02:09
35945,13.25,1667848030,2022-11-07 21:07:10
35947,13.22,1667848331,2022-11-07 21:12:11
35949,13.22,1667848632,2022-11-07 21:17:12
35951,13.21,1667848933,2022-11-07 21:22:13
35953,13.21,1667849234,2022-11-07 21:27:14
35955,13.22,1667849535,2022-11-07 21:32:15
35957,13.21,1667849836,2022-11-07 21:37:16
35959,13.22,1667850138,2022-11-07 21:42:18
35961,13.22,1667850439,2022-11-07 21:47:19
35963,13.25,1667850740,2022-11-07 21:52:20
35965,13.22,1667851041,2022-11-07 21:57:21
35967,13.23,1667851342,2022-11-07 22:02:22
35969,13.22,1667851643,2022-11-07 22:07:23
35971,13.21,1667851945,2022-11-07 22:12:25
35973,13.21,1667852247,2022-11-07 22:17:27
35975,13.10,1667852554,2022-11-07 22:22:34
35977,13.7,1667852855,2022-11-07 22:27:35
35979,13.7,1667853156,2022-11-07 22:32:36
35981,13.6,1667853458,2022-11-07 22:37:38
35983,13.6,1667853759,2022-11-07 22:42:39
35985,13.3,1667854061,2022-11-07 22:47:41
35987,13.2,1667854363,2022-11-07 22:52:43
35989,13.6,1667854668,2022-11-07 22:57:48
35991,13.3,1667854969,2022-11-07 23:02:49
35993,13.3,1667855270,2022-11-07 23:07:50
35995,13.2,1667855572,2022-11-07 23:12:52
35997,13.0,1667855873,2022-11-07 23:17:53
36000,13.1,1667856175,2022-11-07 23:22:55
36002,12.97,1667856477,2022-11-07 23:27:57
36004,13.0,1667856779,2022-11-07 23:32:59
36006,12.98,1667857080,2022-11-07 23:38:00
36008,12.98,1667857381,2022-11-07 23:43:01
