id,value,time,datetime_format
37768,67.44,1668121333,2022-11-11 01:02:13
37770,67.43,1668121634,2022-11-11 01:07:14
37772,67.45,1668121935,2022-11-11 01:12:15
37774,67.29,1668122236,2022-11-11 01:17:16
37776,67.44,1668122538,2022-11-11 01:22:18
37778,67.40,1668122839,2022-11-11 01:27:19
37780,67.33,1668123141,2022-11-11 01:32:21
37782,67.22,1668123443,2022-11-11 01:37:23
37784,67.27,1668123744,2022-11-11 01:42:24
37786,67.33,1668124045,2022-11-11 01:47:25
37788,67.55,1668124347,2022-11-11 01:52:27
37790,67.62,1668124648,2022-11-11 01:57:28
37792,67.65,1668124950,2022-11-11 02:02:30
37794,67.59,1668125251,2022-11-11 02:07:31
37796,67.66,1668125553,2022-11-11 02:12:33
37798,67.55,1668125854,2022-11-11 02:17:34
37800,67.66,1668126155,2022-11-11 02:22:35
37802,67.58,1668126457,2022-11-11 02:27:37
37804,67.69,1668126759,2022-11-11 02:32:39
37806,67.48,1668127060,2022-11-11 02:37:40
37808,67.51,1668127362,2022-11-11 02:42:42
37810,67.58,1668127663,2022-11-11 02:47:43
37812,67.62,1668127971,2022-11-11 02:52:51
37813,67.62,1668127971,2022-11-11 02:52:51
37815,67.75,1668128272,2022-11-11 02:57:52
37817,67.88,1668128574,2022-11-11 03:02:54
37819,67.72,1668128876,2022-11-11 03:07:56
37821,67.80,1668129178,2022-11-11 03:12:58
37823,67.86,1668129479,2022-11-11 03:17:59
37825,67.66,1668129781,2022-11-11 03:23:01
37827,67.65,1668130083,2022-11-11 03:28:03
37829,67.70,1668130384,2022-11-11 03:33:04
37831,67.72,1668130686,2022-11-11 03:38:06
37833,67.66,1668130988,2022-11-11 03:43:08
37835,67.86,1668131289,2022-11-11 03:48:09
37837,67.55,1668131590,2022-11-11 03:53:10
37839,67.65,1668131891,2022-11-11 03:58:11
37841,67.76,1668132193,2022-11-11 04:03:13
37843,67.56,1668132495,2022-11-11 04:08:15
37845,67.80,1668132797,2022-11-11 04:13:17
37847,67.68,1668133099,2022-11-11 04:18:19
37849,67.48,1668133400,2022-11-11 04:23:20
37851,67.29,1668133702,2022-11-11 04:28:22
37853,67.55,1668134003,2022-11-11 04:33:23
37855,67.40,1668134304,2022-11-11 04:38:24
37857,67.62,1668134605,2022-11-11 04:43:25
37859,67.48,1668134907,2022-11-11 04:48:27
37861,67.56,1668135208,2022-11-11 04:53:28
37863,67.62,1668135509,2022-11-11 04:58:29
37865,67.58,1668135810,2022-11-11 05:03:30
37867,67.80,1668136111,2022-11-11 05:08:31
37869,67.93,1668136413,2022-11-11 05:13:33
37871,67.88,1668136715,2022-11-11 05:18:35
37873,67.94,1668137016,2022-11-11 05:23:36
37875,68.5,1668137318,2022-11-11 05:28:38
37877,68.8,1668137619,2022-11-11 05:33:39
37879,67.77,1668137920,2022-11-11 05:38:40
37881,67.73,1668138221,2022-11-11 05:43:41
37883,67.66,1668138523,2022-11-11 05:48:43
37885,67.81,1668138824,2022-11-11 05:53:44
37887,67.76,1668139126,2022-11-11 05:58:46
37889,67.70,1668139427,2022-11-11 06:03:47
37891,67.79,1668139729,2022-11-11 06:08:49
37893,67.66,1668140031,2022-11-11 06:13:51
37895,67.63,1668140333,2022-11-11 06:18:53
37897,67.48,1668140634,2022-11-11 06:23:54
37899,67.38,1668140936,2022-11-11 06:28:56
37901,67.43,1668141238,2022-11-11 06:33:58
37903,67.25,1668141539,2022-11-11 06:38:59
37905,67.26,1668141841,2022-11-11 06:44:01
