id,value,time,datetime_format
36039,67.76,1667862053,2022-11-08 01:00:53
36041,67.52,1667862355,2022-11-08 01:05:55
36043,67.26,1667862656,2022-11-08 01:10:56
36045,67.13,1667862958,2022-11-08 01:15:58
36047,67.26,1667863260,2022-11-08 01:21:00
36049,67.23,1667863561,2022-11-08 01:26:01
36051,67.19,1667863863,2022-11-08 01:31:03
36053,67.11,1667864164,2022-11-08 01:36:04
36055,67.5,1667864465,2022-11-08 01:41:05
36057,67.1,1667864766,2022-11-08 01:46:06
36059,67.6,1667865067,2022-11-08 01:51:07
36061,67.27,1667865368,2022-11-08 01:56:08
36063,67.30,1667865670,2022-11-08 02:01:10
36065,67.26,1667865972,2022-11-08 02:06:12
36067,67.18,1667866274,2022-11-08 02:11:14
36069,67.12,1667866575,2022-11-08 02:16:15
36071,67.25,1667866877,2022-11-08 02:21:17
36073,67.9,1667867179,2022-11-08 02:26:19
36075,67.5,1667867480,2022-11-08 02:31:20
36077,67.2,1667867782,2022-11-08 02:36:22
36079,67.19,1667868083,2022-11-08 02:41:23
36081,67.20,1667868384,2022-11-08 02:46:24
36083,67.9,1667868685,2022-11-08 02:51:25
36085,67.22,1667868986,2022-11-08 02:56:26
36087,67.19,1667869288,2022-11-08 03:01:28
36089,67.19,1667869590,2022-11-08 03:06:30
36091,67.16,1667869892,2022-11-08 03:11:32
36093,67.8,1667870193,2022-11-08 03:16:33
36095,67.18,1667870494,2022-11-08 03:21:34
36097,67.6,1667870796,2022-11-08 03:26:36
36099,67.12,1667871098,2022-11-08 03:31:38
36101,67.8,1667871399,2022-11-08 03:36:39
36103,67.16,1667871701,2022-11-08 03:41:41
36105,67.12,1667872002,2022-11-08 03:46:42
36107,67.23,1667872304,2022-11-08 03:51:44
36109,67.16,1667872605,2022-11-08 03:56:45
36111,67.16,1667872906,2022-11-08 04:01:46
36113,67.37,1667873208,2022-11-08 04:06:48
36115,67.25,1667873509,2022-11-08 04:11:49
36117,67.30,1667873810,2022-11-08 04:16:50
36119,67.33,1667874112,2022-11-08 04:21:52
36121,67.33,1667874413,2022-11-08 04:26:53
36123,67.36,1667874715,2022-11-08 04:31:55
36125,67.16,1667875016,2022-11-08 04:36:56
36127,67.26,1667875317,2022-11-08 04:41:57
36129,67.37,1667875618,2022-11-08 04:46:58
36131,67.40,1667875919,2022-11-08 04:51:59
36133,67.36,1667876220,2022-11-08 04:57:00
36135,67.52,1667876521,2022-11-08 05:02:01
36137,67.47,1667876822,2022-11-08 05:07:02
36139,67.27,1667877123,2022-11-08 05:12:03
36141,67.16,1667877425,2022-11-08 05:17:05
36143,67.4,1667877726,2022-11-08 05:22:06
36145,67.20,1667878028,2022-11-08 05:27:08
36147,67.33,1667878329,2022-11-08 05:32:09
36149,67.6,1667878631,2022-11-08 05:37:11
36151,67.8,1667878932,2022-11-08 05:42:12
36153,67.5,1667879233,2022-11-08 05:47:13
36155,67.16,1667879535,2022-11-08 05:52:15
36157,67.15,1667879837,2022-11-08 05:57:17
36159,67.12,1667880139,2022-11-08 06:02:19
36161,67.9,1667880440,2022-11-08 06:07:20
36163,66.84,1667880742,2022-11-08 06:12:22
36165,66.76,1667881043,2022-11-08 06:17:23
36167,66.88,1667881345,2022-11-08 06:22:25
36169,66.98,1667881647,2022-11-08 06:27:27
36171,67.0,1667881948,2022-11-08 06:32:28
36173,66.91,1667882250,2022-11-08 06:37:30
36175,66.98,1667882551,2022-11-08 06:42:31
36177,66.93,1667882852,2022-11-08 06:47:32
36179,67.1,1667883154,2022-11-08 06:52:34
36181,66.94,1667883456,2022-11-08 06:57:36
36183,66.97,1667883758,2022-11-08 07:02:38
36185,66.95,1667884061,2022-11-08 07:07:41
36187,66.98,1667884362,2022-11-08 07:12:42
36189,66.93,1667884664,2022-11-08 07:17:44
36191,67.13,1667884965,2022-11-08 07:22:45
36193,67.6,1667885267,2022-11-08 07:27:47
36195,67.8,1667885568,2022-11-08 07:32:48
36197,67.19,1667885871,2022-11-08 07:37:51
36199,67.8,1667886172,2022-11-08 07:42:52
36201,67.0,1667886474,2022-11-08 07:47:54
36203,67.2,1667886776,2022-11-08 07:52:56
36205,66.97,1667887077,2022-11-08 07:57:57
36207,66.87,1667887378,2022-11-08 08:02:58
36209,66.79,1667887680,2022-11-08 08:08:00
36211,66.94,1667887982,2022-11-08 08:13:02
36213,67.29,1667888283,2022-11-08 08:18:03
36215,67.23,1667888585,2022-11-08 08:23:05
36217,67.26,1667888886,2022-11-08 08:28:06
36219,67.16,1667889188,2022-11-08 08:33:08
36221,66.98,1667889489,2022-11-08 08:38:09
36223,66.91,1667889790,2022-11-08 08:43:10
36225,67.11,1667890091,2022-11-08 08:48:11
36227,67.11,1667890393,2022-11-08 08:53:13
36229,67.2,1667890694,2022-11-08 08:58:14
36231,67.15,1667890996,2022-11-08 09:03:16
36233,67.23,1667891297,2022-11-08 09:08:17
36235,67.23,1667891599,2022-11-08 09:13:19
36237,67.43,1667891900,2022-11-08 09:18:20
36239,67.13,1667892201,2022-11-08 09:23:21
36241,67.16,1667892502,2022-11-08 09:28:22
36243,67.34,1667892804,2022-11-08 09:33:24
36245,67.31,1667893106,2022-11-08 09:38:26
36247,67.63,1667893407,2022-11-08 09:43:27
36249,67.43,1667893709,2022-11-08 09:48:29
36251,67.58,1667894011,2022-11-08 09:53:31
36253,67.56,1667894313,2022-11-08 09:58:33
36255,67.69,1667894614,2022-11-08 10:03:34
36257,67.77,1667894916,2022-11-08 10:08:36
36259,67.80,1667895218,2022-11-08 10:13:38
36261,67.73,1667895520,2022-11-08 10:18:40
36263,67.80,1667895822,2022-11-08 10:23:42
36265,67.79,1667896124,2022-11-08 10:28:44
36267,67.97,1667896425,2022-11-08 10:33:45
36269,67.87,1667896726,2022-11-08 10:38:46
36271,67.88,1667897027,2022-11-08 10:43:47
36273,67.84,1667897329,2022-11-08 10:48:49
36275,67.93,1667897630,2022-11-08 10:53:50
36277,68.2,1667897932,2022-11-08 10:58:52
36279,68.8,1667898233,2022-11-08 11:03:53
36281,68.8,1667898534,2022-11-08 11:08:54
36283,68.6,1667898835,2022-11-08 11:13:55
36285,68.13,1667899136,2022-11-08 11:18:56
36287,68.18,1667899438,2022-11-08 11:23:58
36289,68.11,1667899739,2022-11-08 11:28:59
