id,value,time,datetime_format
26812,59.22,1666476166,2022-10-23 00:02:46
26814,59.25,1666476468,2022-10-23 00:07:48
26816,59.16,1666476771,2022-10-23 00:12:51
26818,59.43,1666477072,2022-10-23 00:17:52
26820,59.43,1666477373,2022-10-23 00:22:53
26822,59.38,1666477675,2022-10-23 00:27:55
26824,59.25,1666477976,2022-10-23 00:32:56
26826,59.33,1666478277,2022-10-23 00:37:57
26828,59.49,1666478579,2022-10-23 00:42:59
26830,58.50,1666478881,2022-10-23 00:48:01
26832,59.33,1666479182,2022-10-23 00:53:02
26834,59.40,1666479484,2022-10-23 00:58:04
26836,59.56,1666479786,2022-10-23 01:03:06
26838,59.40,1666480087,2022-10-23 01:08:07
26840,59.33,1666480388,2022-10-23 01:13:08
26842,59.25,1666480690,2022-10-23 01:18:10
26844,59.36,1666480991,2022-10-23 01:23:11
26846,59.20,1666481292,2022-10-23 01:28:12
26848,59.29,1666481594,2022-10-23 01:33:14
26850,59.40,1666481895,2022-10-23 01:38:15
26852,59.29,1666482196,2022-10-23 01:43:16
26854,59.22,1666482497,2022-10-23 01:48:17
26856,58.68,1666482799,2022-10-23 01:53:19
26858,58.90,1666483101,2022-10-23 01:58:21
26860,59.81,1666483404,2022-10-23 02:03:24
26862,59.22,1666483705,2022-10-23 02:08:25
26864,59.74,1666484007,2022-10-23 02:13:27
26866,59.49,1666484308,2022-10-23 02:18:28
26868,59.52,1666484610,2022-10-23 02:23:30
26870,59.29,1666484911,2022-10-23 02:28:31
26872,59.65,1666485212,2022-10-23 02:33:32
26874,59.68,1666485514,2022-10-23 02:38:34
26876,59.68,1666485815,2022-10-23 02:43:35
26878,59.75,1666486117,2022-10-23 02:48:37
26880,59.77,1666486419,2022-10-23 02:53:39
26882,59.75,1666486721,2022-10-23 02:58:41
26884,59.9,1666487022,2022-10-23 03:03:42
26886,59.74,1666487323,2022-10-23 03:08:43
26888,59.43,1666487624,2022-10-23 03:13:44
26890,59.84,1666487926,2022-10-23 03:18:46
26892,59.86,1666488228,2022-10-23 03:23:48
26894,59.90,1666488529,2022-10-23 03:28:49
26896,59.72,1666488831,2022-10-23 03:33:51
26898,59.75,1666489132,2022-10-23 03:38:52
26900,59.86,1666489433,2022-10-23 03:43:53
26902,59.93,1666489735,2022-10-23 03:48:55
26904,59.56,1666490036,2022-10-23 03:53:56
26906,59.56,1666490338,2022-10-23 03:58:58
26908,59.95,1666490639,2022-10-23 04:03:59
26910,59.93,1666490941,2022-10-23 04:09:01
26912,59.93,1666491243,2022-10-23 04:14:03
26914,59.70,1666491545,2022-10-23 04:19:05
26916,59.15,1666491846,2022-10-23 04:24:06
26918,59.29,1666492147,2022-10-23 04:29:07
26920,60.13,1666492448,2022-10-23 04:34:08
26922,59.88,1666492750,2022-10-23 04:39:10
26924,59.99,1666493052,2022-10-23 04:44:12
26926,59.81,1666493353,2022-10-23 04:49:13
26928,60.0,1666493655,2022-10-23 04:54:15
26930,60.0,1666493956,2022-10-23 04:59:16
26932,60.6,1666494258,2022-10-23 05:04:18
26934,59.97,1666494559,2022-10-23 05:09:19
26936,60.29,1666494860,2022-10-23 05:14:20
26938,60.11,1666495162,2022-10-23 05:19:22
26940,60.18,1666495464,2022-10-23 05:24:24
26942,60.29,1666495766,2022-10-23 05:29:26
26944,60.27,1666496068,2022-10-23 05:34:28
26946,59.97,1666496370,2022-10-23 05:39:30
26948,60.49,1666496672,2022-10-23 05:44:32
26950,60.43,1666496973,2022-10-23 05:49:33
26952,60.9,1666497275,2022-10-23 05:54:35
