id,value,time,datetime_format
32016,14.22,1667257421,2022-11-01 01:03:41
32018,14.19,1667257722,2022-11-01 01:08:42
32020,14.14,1667258023,2022-11-01 01:13:43
32022,14.15,1667258324,2022-11-01 01:18:44
32024,14.10,1667258625,2022-11-01 01:23:45
32026,14.3,1667258926,2022-11-01 01:28:46
32028,14.2,1667259227,2022-11-01 01:33:47
32030,14.0,1667259528,2022-11-01 01:38:48
32032,13.93,1667259830,2022-11-01 01:43:50
32034,13.89,1667260131,2022-11-01 01:48:51
32036,13.89,1667260432,2022-11-01 01:53:52
32038,13.89,1667260734,2022-11-01 01:58:54
32040,13.85,1667261035,2022-11-01 02:03:55
32042,13.85,1667261337,2022-11-01 02:08:57
32044,13.80,1667261639,2022-11-01 02:13:59
32046,13.77,1667261941,2022-11-01 02:19:01
32048,13.76,1667262243,2022-11-01 02:24:03
32050,13.72,1667262545,2022-11-01 02:29:05
32052,13.72,1667262846,2022-11-01 02:34:06
32054,13.72,1667263147,2022-11-01 02:39:07
32056,13.72,1667263449,2022-11-01 02:44:09
32058,13.68,1667263751,2022-11-01 02:49:11
32060,13.65,1667264053,2022-11-01 02:54:13
32062,13.68,1667264354,2022-11-01 02:59:14
32064,13.65,1667264656,2022-11-01 03:04:16
32066,13.65,1667264958,2022-11-01 03:09:18
32068,13.61,1667265260,2022-11-01 03:14:20
32070,13.64,1667265561,2022-11-01 03:19:21
32072,13.63,1667265863,2022-11-01 03:24:23
32074,13.63,1667266164,2022-11-01 03:29:24
32076,13.63,1667266466,2022-11-01 03:34:26
32078,13.65,1667266767,2022-11-01 03:39:27
32080,13.64,1667267068,2022-11-01 03:44:28
32082,13.64,1667267369,2022-11-01 03:49:29
32084,13.64,1667267670,2022-11-01 03:54:30
32086,13.63,1667267971,2022-11-01 03:59:31
32088,13.61,1667268272,2022-11-01 04:04:32
32090,13.64,1667268574,2022-11-01 04:09:34
32092,13.63,1667268875,2022-11-01 04:14:35
32094,13.64,1667269176,2022-11-01 04:19:36
32096,13.63,1667269477,2022-11-01 04:24:37
32098,13.64,1667269779,2022-11-01 04:29:39
32100,13.63,1667270081,2022-11-01 04:34:41
32102,13.63,1667270382,2022-11-01 04:39:42
32104,13.61,1667270683,2022-11-01 04:44:43
32106,13.64,1667270984,2022-11-01 04:49:44
32108,13.63,1667271285,2022-11-01 04:54:45
32110,13.63,1667271586,2022-11-01 04:59:46
32112,13.64,1667271887,2022-11-01 05:04:47
32114,13.61,1667272188,2022-11-01 05:09:48
32116,13.61,1667272496,2022-11-01 05:14:56
32118,13.61,1667272797,2022-11-01 05:19:57
32120,13.60,1667273099,2022-11-01 05:24:59
