id,value,time,datetime_format
62867,4.40,1670194906,2022-12-05 01:01:46
62881,4.48,1670195208,2022-12-05 01:06:48
62893,4.57,1670195509,2022-12-05 01:11:49
62907,4.61,1670195811,2022-12-05 01:16:51
62921,4.59,1670196112,2022-12-05 01:21:52
62935,4.65,1670196414,2022-12-05 01:26:54
62949,4.71,1670196715,2022-12-05 01:31:55
62962,4.75,1670197017,2022-12-05 01:36:57
62975,4.82,1670197322,2022-12-05 01:42:02
62989,4.86,1670197624,2022-12-05 01:47:04
63003,4.88,1670197926,2022-12-05 01:52:06
63017,4.92,1670198228,2022-12-05 01:57:08
63031,4.98,1670198530,2022-12-05 02:02:10
63044,5.0,1670198831,2022-12-05 02:07:11
63057,5.5,1670199133,2022-12-05 02:12:13
63071,5.11,1670199435,2022-12-05 02:17:15
63085,5.9,1670199736,2022-12-05 02:22:16
63099,5.19,1670200037,2022-12-05 02:27:17
63113,5.21,1670200338,2022-12-05 02:32:18
63126,5.19,1670200639,2022-12-05 02:37:19
63139,5.23,1670200941,2022-12-05 02:42:21
63153,5.30,1670201242,2022-12-05 02:47:22
63167,5.30,1670201543,2022-12-05 02:52:23
63181,5.32,1670201845,2022-12-05 02:57:25
63194,5.38,1670202146,2022-12-05 03:02:26
63208,5.36,1670202448,2022-12-05 03:07:28
63221,5.40,1670202749,2022-12-05 03:12:29
63235,5.44,1670203050,2022-12-05 03:17:30
63249,5.44,1670203352,2022-12-05 03:22:32
63262,5.51,1670203653,2022-12-05 03:27:33
63276,5.55,1670203955,2022-12-05 03:32:35
63289,5.61,1670204257,2022-12-05 03:37:37
63303,5.61,1670204558,2022-12-05 03:42:38
63317,5.69,1670204859,2022-12-05 03:47:39
63330,5.65,1670205161,2022-12-05 03:52:41
63343,5.69,1670205463,2022-12-05 03:57:43
63357,5.73,1670205764,2022-12-05 04:02:44
63371,5.78,1670206065,2022-12-05 04:07:45
63385,5.80,1670206367,2022-12-05 04:12:47
63399,5.86,1670206669,2022-12-05 04:17:49
63412,5.88,1670206971,2022-12-05 04:22:51
63425,5.94,1670207272,2022-12-05 04:27:52
63439,5.94,1670207573,2022-12-05 04:32:53
63453,5.98,1670207875,2022-12-05 04:37:55
63467,6.1,1670208176,2022-12-05 04:42:56
63480,6.5,1670208477,2022-12-05 04:47:57
63493,6.7,1670208779,2022-12-05 04:52:59
63507,6.7,1670209080,2022-12-05 04:58:00
63521,6.13,1670209382,2022-12-05 05:03:02
63535,6.17,1670209683,2022-12-05 05:08:03
63549,6.19,1670209985,2022-12-05 05:13:05
63561,6.23,1670210287,2022-12-05 05:18:07
63575,6.21,1670210588,2022-12-05 05:23:08
63589,6.26,1670210890,2022-12-05 05:28:10
63603,6.30,1670211192,2022-12-05 05:33:12
63617,6.32,1670211494,2022-12-05 05:38:14
63630,6.36,1670211796,2022-12-05 05:43:16
63644,6.40,1670212097,2022-12-05 05:48:17
63657,6.40,1670212399,2022-12-05 05:53:19
63671,6.42,1670212700,2022-12-05 05:58:20
63685,6.44,1670213001,2022-12-05 06:03:21
63698,6.40,1670213302,2022-12-05 06:08:22
63712,6.38,1670213604,2022-12-05 06:13:24
63725,6.44,1670213905,2022-12-05 06:18:25
63739,6.44,1670214206,2022-12-05 06:23:26
63752,6.44,1670214508,2022-12-05 06:28:28
63766,6.42,1670214810,2022-12-05 06:33:30
63780,6.42,1670215111,2022-12-05 06:38:31
63792,6.40,1670215412,2022-12-05 06:43:32
63806,6.42,1670215714,2022-12-05 06:48:34
63820,6.40,1670216015,2022-12-05 06:53:35
63834,6.40,1670216317,2022-12-05 06:58:37
63848,6.44,1670216620,2022-12-05 07:03:40
63861,6.44,1670216922,2022-12-05 07:08:42
63874,6.42,1670217223,2022-12-05 07:13:43
63888,6.44,1670217525,2022-12-05 07:18:45
63902,6.46,1670217826,2022-12-05 07:23:46
63916,6.50,1670218128,2022-12-05 07:28:48
63930,6.53,1670218429,2022-12-05 07:33:49
63943,6.61,1670218731,2022-12-05 07:38:51
63956,6.67,1670219032,2022-12-05 07:43:52
63970,6.71,1670219333,2022-12-05 07:48:53
63983,6.76,1670219635,2022-12-05 07:53:55
63997,6.82,1670219937,2022-12-05 07:58:57
64011,6.88,1670220239,2022-12-05 08:03:59
64023,6.92,1670220541,2022-12-05 08:09:01
64037,7.1,1670220842,2022-12-05 08:14:02
64051,7.5,1670221143,2022-12-05 08:19:03
64065,7.15,1670221445,2022-12-05 08:24:05
64079,7.23,1670221746,2022-12-05 08:29:06
64092,7.28,1670222048,2022-12-05 08:34:08
64105,7.38,1670222349,2022-12-05 08:39:09
64119,7.38,1670222652,2022-12-05 08:44:12
64133,7.42,1670222953,2022-12-05 08:49:13
64147,7.48,1670223255,2022-12-05 08:54:15
64160,7.48,1670223557,2022-12-05 08:59:17
64173,7.50,1670223858,2022-12-05 09:04:18
64187,7.53,1670224160,2022-12-05 09:09:20
